delta,frequency
0.000917862,5218912000
0.000721141,5224173000
0.000724421,5229434000
0.0009277,5234695000
0.000530979,5239956000
0.000734258,5245217000
0.000937538,5250478000
0.000340817,5255739000
0.001144096,5261000000
0.000347376,5266261000
0.000750655,5271522000
0.000753934,5276783000
0.000557213,5282044000
0.000760493,5287305000
0.000563772,5292566000
0.000767051,5297827000
0.00057033,5303088000
0.00097361,5308349000
0.000376889,5313610000
0.000780168,5318871000
0.000783448,5324132000
0.000386727,5329393000
0.000990006,5334654000
0.000393285,5339915000
0.000596565,5345176000
0.000799844,5350437000
0.000403123,5355698000
0.000806402,5360959000
0.000609682,5366220000
0.000412961,5371481000
0.00081624,5376742000
0.00041952,5382003000
0.000422799,5387264000
0.000826078,5392525000
2.93574E-05,5397786000
0.001032637,5403047000
0.000435916,5408308000
0.000439195,5413569000
0.001042475,5418830000
0.000245754,5424091000
0.000849033,5429352000
0.000852312,5434613000
0.000255592,5439874000
0.000858871,5445135000
0.00066215,5450396000
0.000265429,5455657000
0.000868709,5460918000
0.000271988,5466179000
0.000675267,5471440000
0.000878547,5476701000
0.000281826,5481962000
0.000885105,5487223000
0.000488384,5492484000
0.000491664,5497745000
0.000894943,5503006000
0.000298222,5508267000
0.000901501,5513528000
0.000304781,5518789000
0.00090806,5524050000
0.000311339,5529311000
0.000714619,5534572000
0.000717898,5539833000
0.000321177,5545094000
0.000924456,5550355000
0.000127736,5555616000
0.000931015,5560877000
0.000334294,5566138000
0.000737573,5571399000
0.000740853,5576660000
0.000344132,5581921000
0.000947411,5587182000
0.000350691,5592443000
0.00075397,5597704000
0.000557249,5602965000
0.000360528,5608226000
0.000963808,5613487000
0.000367087,5618748000
0.000570366,5624009000
0.000773645,5629270000
0.000176925,5634531000
0.000980204,5639792000
0.000383483,5645053000
0.000586763,5650314000
0.000790042,5655575000
0.000193321,5660836000
0.0009966,5666097000
0.00039988,5671358000
0.000403159,5676619000
0.001006438,5681880000
9.71749E-06,5687141000
0.001012997,5692402000
0.000216276,5697663000
0.000619555,5702924000
0.000622835,5708185000
0.000426114,5713446000
0.000829393,5718707000
0.000432672,5723968000
0.000635952,5729229000
0.000439231,5734490000
0.00064251,5739751000
0.00064579,5745012000
0.000449069,5750273000
0.000652348,5755534000
0.000655627,5760795000
0.000458907,5766056000
0.000662186,5771317000
0.000465465,5776578000
0.000468744,5781839000
0.000672024,5787100000
0.000275303,5792361000
0.000878582,5797622000
0.000281862,5802883000
0.000485141,5808144000
0.00088842,5813405000
9.16994E-05,5818666000
0.000894979,5823927000
0.000298258,5829188000
0.000301537,5834449000
0.000704816,5839710000
0.000308096,5844971000
0.000711375,5850232000
0.000714654,5855493000
0.000117934,5860754000
0.000721213,5866015000
0.000724492,5871276000
0.000127771,5876537000
0.000931051,5881798000
